"DatasetID","Dataset_name","Island","Lat","Long","MethodCode","Year","Month","Day","UniqueSurveyID","Site_code","coord.join9","ReefHabitat","parrot","open_protected","year_num","mgmt","zero_one"
11.5,"DAR","Maui",20.58836,-156.4143,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",16808,"Other",1.72452,"OPEN",5,"OPEN",1
11.5,"DAR","Maui",20.58902,-156.4143,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",16823,"Other",0,"OPEN",5,"OPEN",0
11.5,"DAR","Maui",20.58934,-156.4139,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",16821,"Other",0.6862591,"OPEN",5,"OPEN",1
11.5,"DAR","Maui",20.58953,-156.416,"FAHU",2018,2,21,"LAPE_FAHU18","LAPE",17117,"Other",0,"OPEN",4,"OPEN",0
11.5,"DAR","Maui",20.58958,-156.4134,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",18004,"Shallow Aggregate reef, <25ft",18.688697,"OPEN",5,"OPEN",1
11.5,"DAR","Maui",20.58962,-156.4172,"FAHU",2018,2,21,"LAPE_FAHU18","LAPE",16742,"Other",0,"OPEN",4,"OPEN",0
11.5,"DAR","Maui",20.58968,-156.4169,"FAHU",2018,2,21,"LAPE_FAHU18","LAPE",16753,"Other",0.2854528,"OPEN",4,"OPEN",1
11.5,"DAR","Maui",20.58985,-156.4134,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",16822,"Shallow Aggregate reef, <25ft",2.1706951,"OPEN",5,"OPEN",1
11.5,"DAR","Maui",20.58986,-156.4153,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",18468,"Other",15.890307,"OPEN",5,"OPEN",1
11.5,"DAR","Maui",20.58992,-156.4182,"FAHU",2018,2,21,"LAPE_FAHU18","LAPE",17690,"Other",0,"OPEN",4,"OPEN",0
11.5,"DAR","Maui",20.59009,-156.4176,"FAHU",2018,2,21,"LAPE_FAHU18","LAPE",16743,"Other",0,"OPEN",4,"OPEN",0
11.5,"DAR","Maui",20.59011,-156.4134,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",18001,"Shallow Aggregate reef, <25ft",1.72452,"OPEN",5,"OPEN",1
11.5,"DAR","Maui",20.59012,-156.4175,"FAHU",2018,2,21,"LAPE_FAHU18","LAPE",17689,"Other",0.2442728,"OPEN",4,"OPEN",1
11.5,"DAR","Maui",20.59023,-156.4132,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",18006,"Shallow Aggregate reef, <25ft",4.8451801,"OPEN",5,"OPEN",1
11.5,"DAR","Maui",20.59024,-156.4157,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",18459,"Shallow Aggregate reef, <25ft",0.4885455,"OPEN",5,"OPEN",1
11.5,"DAR","Maui",20.59027,-156.4181,"FAHU",2018,2,21,"LAPE_FAHU18","LAPE",18175,"Other",0,"OPEN",4,"OPEN",0
11.5,"DAR","Maui",20.59034,-156.4164,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",18460,"Other",0,"OPEN",5,"OPEN",0
11.5,"DAR","Maui",20.5904,-156.414,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",16818,"Shallow Aggregate reef, <25ft",109.821681,"OPEN",5,"OPEN",1
11.5,"DAR","Maui",20.59071,-156.4134,"FAHU",2018,2,20,"LAPE_FAHU18","LAPE",16736,"Shallow Aggregate reef, <25ft",1.598513,"OPEN",4,"OPEN",1
11.5,"DAR","Maui",20.59096,-156.414,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",16816,"Shallow Aggregate reef, <25ft",3.996282,"OPEN",5,"OPEN",1
11.5,"DAR","Maui",20.59097,-156.4169,"FAHU",2019,1,15,"LAPE_FAHU19","LAPE",18462,"Other",0,"OPEN",5,"OPEN",0
11.5,"DAR","Maui",20.59115,-156.4289,"FAHU",2018,3,29,"AHIH_FAHU18","AHIH",16759,"Shallow Aggregate reef, <25ft",6.6090045,"Protected",4,"Protected",1
