"coord.join8","Lat","Long","Year","Parrotfish"
1441,20.93582866,-156.6934171,2011,2.157992064
1443,20.93586973,-156.6931759,2011,0.356816
1447,20.93589295,-156.6932101,2011,2.928714624
1448,20.93590116,-156.6934661,2011,2.975748
1450,20.93596679,-156.6931958,2011,14.84144564
1451,20.93597459,-156.6931773,2011,0
1455,20.93606737,-156.6935429,2011,1.650359
1456,20.93607768,-156.6933992,2011,3.7425579
1460,20.93613552,-156.6935618,2011,0
1461,20.93619637,-156.6934157,2011,8.26522639
1464,20.93625136,-156.6935354,2011,0
1473,20.93641581,-156.6934257,2011,0
1475,20.93645613,-156.6932167,2011,0
1477,20.93648756,-156.6932672,2011,2.975748
1479,20.93653182,-156.693583,2011,0
1480,20.93656652,-156.6934194,2011,0
1482,20.936592,-156.6934168,2011,34.233090105
1489,20.93676869,-156.6936611,2011,2.3194431216
1491,20.93682166,-156.6935531,2011,3.968638
1494,20.93684664,-156.6930906,2011,0
1496,20.93695845,-156.6934237,2011,0.162159875
1498,20.9370842,-156.6935883,2008,0
1503,20.93727713,-156.6938296,2011,0
1505,20.93736649,-156.6931458,2009,0
1506,20.93749356,-156.6931384,2011,0
1508,20.93756187,-156.6937568,2011,2.328102
1509,20.93757318,-156.6937182,2011,0
1513,20.93768047,-156.6932637,2011,0.968706216
1515,20.93769967,-156.6935394,2011,0
1517,20.93787493,-156.6934313,2011,100.206057
1524,20.93801172,-156.6936614,2011,6.42761568
1531,20.93816243,-156.693852,2011,0
1535,20.93826335,-156.6937731,2011,0
1544,20.93839008,-156.69341,2011,0
1545,20.93840215,-156.6937905,2011,0
1546,20.93840266,-156.693739,2011,2.602893276
1547,20.93840978,-156.6940099,2011,0
1556,20.93866015,-156.6939864,2011,8.085014125
1558,20.9387039,-156.6937934,2011,0
1575,20.93921661,-156.6930695,2008,0.156802119
1581,20.93936649,-156.6929941,2011,0
1582,20.93937492,-156.6932068,2008,1.003944013
1584,20.93948141,-156.693271,2011,0
1587,20.93963446,-156.6934701,2011,0.449272375
1603,20.93982372,-156.6938219,2011,0
1604,20.93982506,-156.6931763,2008,0.04386251
1607,20.93997007,-156.693482,2011,0.5678851
1608,20.93997535,-156.6929641,2012,0
1621,20.94039345,-156.6930695,2009,3.968638
1625,20.94059302,-156.6932792,2011,2.5150679
1632,20.94081522,-156.6929325,2010,0
1635,20.94084598,-156.6931755,2011,9.29375675
1636,20.94087982,-156.6929932,2008,0
1644,20.94110339,-156.6938417,2011,0.9990704
1648,20.94119651,-156.6940374,2012,0.47237329825
1650,20.94125748,-156.6941681,2009,0
1651,20.9413064,-156.6930399,2012,0.968706216
1653,20.94135946,-156.6940567,2011,1.437672
1659,20.94159608,-156.6943649,2011,0
1661,20.94160899,-156.6945939,2011,0
1664,20.94163304,-156.6947197,2011,0
1679,20.94261498,-156.6943492,2011,3.669418
1681,20.94265002,-156.6949203,2011,1.110182
1682,20.94266452,-156.6945357,2011,2.848099756
1683,20.94266703,-156.6949368,2011,1.3478175
1686,20.94269008,-156.6943799,2011,2.607264439
1688,20.942745,-156.694891,2011,0
1689,20.94275194,-156.6946781,2011,1.110182
1691,20.94275597,-156.6947205,2011,3.22208125
1696,20.94292972,-156.6942941,2011,8.4695639
1700,20.94309753,-156.6947255,2011,1.3478175
1703,20.94318839,-156.6943307,2011,7.065491071
1705,20.94322401,-156.6945183,2011,3.1848175
1706,20.94328243,-156.6946738,2012,15.684893325
1708,20.94332132,-156.6945541,2011,0.06486393
1711,20.94337522,-156.6946026,2011,15.1517949
1718,20.94363464,-156.693204,2011,0
1721,20.94367228,-156.6938032,2012,3.53822242083333
1724,20.94379044,-156.6946259,2008,0.7188358
1727,20.94383832,-156.6946334,2011,3.669418
1745,20.94419723,-156.6940795,2011,0
1746,20.94419941,-156.6936663,2011,0
1748,20.944224,-156.695247,2011,22.017095384
1757,20.94439002,-156.6939201,2011,0.6809013
1764,20.94444693,-156.6938033,2011,0
1770,20.94455816,-156.6949791,2011,23.778622
1772,20.94462153,-156.6945665,2011,1.437672
1779,20.94483694,-156.6941022,2011,2.1092524
1782,20.94490814,-156.6935425,2008,3.06724
1788,20.94511145,-156.6949024,2012,0
1791,20.94520424,-156.6934602,2011,8.174399
1796,20.94535446,-156.6940765,2008,0
1815,20.94592994,-156.6957199,2011,0
1816,20.94594469,-156.6953607,2011,0
1817,20.94594662,-156.6950055,2012,3.08289024
1830,20.94611944,-156.6955361,2011,20.672688
1833,20.94619296,-156.6949731,2010,3.350371
1834,20.94622993,-156.6954801,2011,11.98052775
1847,20.94647686,-156.6957629,2011,3.1547204
1848,20.94649203,-156.6955681,2011,5.47108875
1852,20.94656168,-156.6943542,2011,5.03185
1853,20.94657761,-156.6955795,2010,0.3950364
1859,20.94699268,-156.6943967,2011,0.9990704
1862,20.94704406,-156.6939211,2011,15.5555025
1864,20.9470905,-156.6943033,2011,7.2265038
1865,20.94713375,-156.6941756,2011,3.4217227
1873,20.94738579,-156.6944981,2011,2.220364
1877,20.94750792,-156.6942397,2011,0
1884,20.94783967,-156.6946748,2011,1.110182
1891,20.94811854,-156.6950731,2011,0
1897,20.94829054,-156.6949128,2011,1.110182
1900,20.94837234,-156.6950759,2011,0.7188358
1908,20.94857711,-156.6945098,2011,0
1909,20.94861919,-156.6934883,2011,7.225583705
1912,20.94875347,-156.6935595,2012,61.284222426
1918,20.94897064,-156.694731,2011,0
1931,20.94960976,-156.6937866,2009,3.687847
1940,20.94986675,-156.6933639,2011,3.612961379
1952,20.9502457,-156.6940474,2011,174.971107572
1952,20.9502457,-156.6940474,2012,1.3478175
1961,20.95041686,-156.6934335,2011,0
1964,20.95052096,-156.6941316,2011,8.187551145
1966,20.95058927,-156.6929206,2010,6.6118417
1967,20.95060252,-156.693104,2011,3.402748
1969,20.95064225,-156.6939503,2011,0
1971,20.95066228,-156.6936219,2011,0
1973,20.95069958,-156.6926436,2011,11.33422
1977,20.95084274,-156.6945171,2011,19.397532419
1983,20.95099563,-156.6928543,2012,17.897636
1986,20.95114122,-156.6920775,2011,6.999964
1987,20.95114424,-156.6929396,2011,0.06486393
1993,20.95122244,-156.6923328,2011,20.044708
1994,20.95122512,-156.6915908,2011,6.760803
1995,20.95123678,-156.6926331,2011,3.818699719
2000,20.95136108,-156.6936596,2011,0
2003,20.95139176,-156.692364,2011,0
2006,20.95153743,-156.6913003,2011,0
2008,20.95156241,-156.691294,2011,0
2021,20.95192568,-156.6919124,2010,2.975748
2024,20.95230279,-156.6911572,2011,7.4119759
2025,20.95244913,-156.6915683,2011,16.35293893
2026,20.95271945,-156.6916835,2011,8.449018
1439,20.93546405,-156.6933984,2010,0
1440,20.93575884,-156.6932413,2011,3.1628784
1441,20.93582866,-156.6934171,2012,5.384989456
1442,20.93585439,-156.6934558,2011,23.23790161
1443,20.93586973,-156.6931759,2012,3.84647648
1444,20.93587392,-156.69364,2011,19.66086408
1445,20.93588951,-156.6933554,2011,34.40828897
1446,20.93589244,-156.6932365,2010,23.82225028
1447,20.93589295,-156.6932101,2012,9.231465936
1448,20.93590116,-156.6934661,2012,16.03928172
1449,20.93590602,-156.6933272,2010,0
1450,20.93596679,-156.6931958,2011,12.75449546
1451,20.93597459,-156.6931773,2012,0
1452,20.93599604,-156.6931689,2011,16.46110796
1453,20.93602753,-156.6934967,2008,0
1454,20.93604315,-156.6933795,2011,0
1455,20.93606737,-156.6935429,2011,4.72002674
1456,20.93607768,-156.6933992,2012,18.232358034
1457,20.93608284,-156.6934509,2008,0
1458,20.93609864,-156.6933352,2010,17.0325997975
1459,20.93611526,-156.6935577,2008,0
1460,20.93613552,-156.6935618,2012,0
1461,20.93619637,-156.6934157,2012,29.256979686
1462,20.93622169,-156.6935506,2010,74.61069044
1463,20.93622398,-156.6934204,2009,0
1464,20.93625136,-156.6935354,2012,0
1465,20.93629265,-156.6934967,2009,5.955791996
1466,20.93631172,-156.6933441,2009,6.57240764565
1468,20.9363842,-156.6936188,2008,10.769978912
1469,20.93638992,-156.6936188,2008,0
1470,20.93639755,-156.6933441,2008,0
1472,20.93641103,-156.6934506,2010,0
1473,20.93641581,-156.6934257,2012,0
1474,20.93641663,-156.6936035,2008,0
1475,20.93645613,-156.6932167,2012,0
1476,20.93647029,-156.6932759,2011,46.82563285
1477,20.93648756,-156.6932672,2012,16.03928172
