"Year","Date","RoundID","Site","Site_Name","mgmt_area","mgmt_gear","biomass_g_100m2","biomass_g_m2","Start.Date"
2007,2007-05-30,"WHP44",1,"Lapakahi","Open","Before",880.8097,8.8081,"2007-05-16"
2007,2007-08-08,"WHP45",1,"Lapakahi","Open","Before",16.9438,0.1694,"2007-07-12"
2007,2007-09-26,"WHP46",1,"Lapakahi","Open","Before",77.8617,0.7786,"2007-09-04"
2007,2007-11-13,"WHP47",1,"Lapakahi","Open","Before",1340.872,13.4087,"2007-10-23"
2008,2008-06-03,"WHP48",1,"Lapakahi","Open","Before",0,0,"2008-05-20"
2008,2008-08-21,"WHP49",1,"Lapakahi","Open","Before",893.0536,8.9305,"2008-07-08"
2008,2008-09-30,"WHP50",1,"Lapakahi","Open","Before",0,0,"2008-09-02"
2008,2008-11-25,"WHP51",1,"Lapakahi","Open","Before",21.0459,0.2105,"2008-10-15"
2009,2009-05-28,"WHP52",1,"Lapakahi","Open","Before",201.0545,2.0105,"2009-05-06"
2009,2009-07-21,"WHP53",1,"Lapakahi","Open","Before",0,0,"2009-07-07"
2009,2009-09-08,"WHP54",1,"Lapakahi","Open","Before",708.6611,7.0866,"2009-09-01"
2009,2009-11-04,"WHP55",1,"Lapakahi","Open","Before",1781.6442,17.8164,"2009-10-20"
2010,2010-05-18,"WHP56",1,"Lapakahi","Open","Before",133.4538,1.3345,"2010-05-05"
2010,2010-08-03,"WHP57",1,"Lapakahi","Open","Before",0,0,"2010-07-08"
2010,2010-09-28,"WHP58",1,"Lapakahi","Open","Before",8.6611,0.0866,"2010-09-07"
2010,2010-11-16,"WHP59",1,"Lapakahi","Open","Before",0,0,"2010-10-19"
2011,2011-05-18,"WHP60",1,"Lapakahi","Open","Before",880.8097,8.8081,"2011-05-03"
2011,2011-07-20,"WHP61",1,"Lapakahi","Open","Before",0,0,"2011-07-06"
2011,2011-10-06,"WHP62",1,"Lapakahi","Open","Before",1346.6635,13.4666,"2011-09-13"
2011,2011-11-23,"WHP63",1,"Lapakahi","Open","Before",19.3415,0.1934,"2011-11-01"
2012,2012-06-12,"WHP64",1,"Lapakahi","Open","Before",0,0,"2012-05-15"
2012,2012-08-01,"WHP65",1,"Lapakahi","Open","Before",0,0,"2012-07-10"
2012,2012-09-06,"WHP66",1,"Lapakahi","Open","Before",318.542,3.1854,"2012-08-28"
2012,2012-12-04,"WHP67",1,"Lapakahi","Open","Before",453.9516,4.5395,"2012-11-08"
2013,2013-05-07,"WHP68",1,"Lapakahi","Open","Before",0,0,"2013-05-02"
2013,2013-08-06,"WHP69",1,"Lapakahi","Open","Before",3.772,0.0377,"2013-07-16"
2013,2013-09-19,"WHP70",1,"Lapakahi","Open","Before",899.6698,8.9967,"2013-09-03"
2013,2013-11-13,"WHP71",1,"Lapakahi","Open","Before",7.5441,0.0754,"2013-11-06"
2014,2014-05-06,"WHP72",1,"Lapakahi","Open","After",3.772,0.0377,"2014-05-06"
2014,2014-07-23,"WHP73",1,"Lapakahi","Open","After",7.5441,0.0754,"2014-07-02"
2014,2014-09-09,"WHP74",1,"Lapakahi","Open","After",0,0,"2014-09-09"
2014,2014-12-03,"WHP75",1,"Lapakahi","Open","After",23.1136,0.2311,"2014-11-05"
2015,2015-05-14,"WHP76",1,"Lapakahi","Open","After",3.772,0.0377,"2015-05-05"
2015,2015-07-23,"WHP77",1,"Lapakahi","Open","After",0,0,"2015-07-02"
2015,2015-09-08,"WHP78",1,"Lapakahi","Open","After",19.3415,0.1934,"2015-09-01"
2015,2015-11-18,"WHP79",1,"Lapakahi","Open","After",0,0,"2015-11-03"
2016,2016-05-12,"WHP80",1,"Lapakahi","Open","After",0,0,"2016-05-03"
2016,2016-07-19,"WHP81",1,"Lapakahi","Open","After",0,0,"2016-07-07"
2016,2016-09-13,"WHP82",1,"Lapakahi","Open","After",7.5441,0.0754,"2016-09-06"
2016,2016-12-07,"WHP83",1,"Lapakahi","Open","After",395.9081,3.9591,"2016-11-10"
2017,2017-05-18,"WHP84",1,"Lapakahi","Open","After",3.772,0.0377,"2017-05-02"
